"id","Label","2-3-Dihydroxybenzoic-acid","2-Aminooctanoic-acid","2-Isopropylmalic-acid","2-Keto-D-gluconate","2-Keto-isovalerate","2-Oxo-4-methylthiobutanoate","2-Oxobutanoate","3-Hydroxybutyric-acid","3-Methylphenylacetic-acid","3-Phospho-serine","3-Phosphoglycerate","4-Phosphopantothenate","4-Pyridoxic-acid","5-Methyl-THF","6-Phospho-D-gluconate","Acetoacetate","Acetyl-aspartate","Acetyl-glycine","Acetyllysine","Acetylphosphate","Aconitate","ADP","ADP-D-glucose","Alanine-Sacrosine","Allantoate","Alpha-ketoglutarate","AMP","anthine","anthosine","anthosine-5-phosphate","Anthranilate","anthurenic-acid","Arginine","Ascorbic-acid","Asparagine","CDP","CDP-choline","CDP-ethanolamine","Chlorpropamide","Citraconic-acid","Citrate-isocitrate","Citrulline","CMP","Cyclic-AMP","Cystathionine","Cysteine","D-Sedoheptulose-1-7-phosphate","dAMP","dCMP","Deoxyribose-phosphate","Deoxyuridine","Dihydroxy-acetone-phosphate","dTMP","Erythrose-4-phosphate","FAD","FMN","Fructose-1-6-bisphosphate","Fructose-6-phosphate","Fumarate","GDP","Glucarate","Glucono-_-lactone","Glucosamine-1-6-phosphate","Glucose","Glucose-1-6-phosphate","Glutamine","Glutathione","Glutathione-disulfide","Glyceraldehdye-3-phosphate","Glycerate","GMP","Histidine","Homocysteine-Methylcysteine","Hydroxyisocaproic-acid","Hydroxyphenylacetic-acid","Hydroxyphenylpyruvate","Hydroxyproline-Aminolevulinate","IMP","Indole-3-carboxylic-acid","Inosine","Ketoleucine","Kynurenic-acid","Lactate","Leu-Asp--LD-","Leucine-Isoleucine","Lysine","Malate","Maleic-acid","Methionine","N-Acetyl-glucosamine-1-6-phosphate","N-Acetyl-glutamate","N-Acetyl-glutamine","N-Acetyl-L-alanine","N-Acetyl-L-ornithine","N-Carbamoyl-L-aspartate","Nicotinate","Octoluse-bisphosphate","Ornithine","Pantetheine","Pantothenate","Phenylalanine","Phenyllactic-acid","Phenylpyruvate","Phosphoenolpyruvate","Pipecolic-Acid","Pro-Asp--PD-","Proline","Pyroglutamic-acid","Pyruvate","Quinolinate","Riboflavin","Ribose","Ribose-5-phosphate","Ribulose-5-phosphate","S-Adenosyl-L-homocysteine","S-Methyl-5--thioadenosine","Sedoheptoluse-bisphosphate","Serine","sn-Glycerol-3-phosphate","Succinate-Methylmalonic-acid","Taurine","Threonine-Homoserine","Trehalose-6-Phosphate","Trehalose-Sucrose","Tryptophan","UDP","UDP-D-glucose","UDP-D-glucuronate","UDP-N-acetyl-glucosamine","UMP","Uracil","Uric-acid","Uridine","UTP","Val-Asp--VD-","Valine-5-Aminopentanoic-acid"
"160711-10","plasma",3846273,12513726,6930234,12136778,68546296,309174,10646081,7536350,1374511,4172,358.5,358.5,18407202,358.5,6256,16739998,48096840,43599324,814085,11487,290216320,358.5,358.5,44723732,1137891,1314026880,5487,7081122,1130736,358.5,3283778,741741,4575370,133146,18020530,358.5,358.5,7415,439773952,17386034,9802930,72866832,4190,80844,65455,14437,145187,358.5,3140,110847,2070524,57112,5046,13727,358.5,5608,358.5,215636,86813680,358.5,6388,372286,358.5,1221374080,2082273,1198215808,301944,358.5,19571,42946288,358.5,8118330,283141,46394588,1469518,14401286,1856574,358.5,1010371,18333,32820720,4490245,12073554944,12087,67095456,7608862,421958112,3183850,61628532,1907182,25872206,3708,16099454,747093,12811,18497304,358.5,396064,358.5,212884384,160795120,9041785,17784882,77895,1377621,8518,44374428,351836480,14810392,95296,14702,26836648,53946,7956927,358.5,358.5,358.5,69705168,73558344,2270354176,1656165248,213077136,358.5,2140351,240084784,358.5,13901,358.5,24512,173271,2803,643362688,29668602,358.5,3130,145046064
"160711-101","tumor",572682,16273515,3711101,3476448,79443744,370354,5753875,5738488,1726565,281451,2609617,250106,3004426,358.5,449908,6434970,23798022,9442140,410909,118863,48682112,7881,52403,16129055,83395,31046152,49889,600645248,3993071,358.5,3213060,16546,2208472,108356,15054210,9337,22071,1641460,116284552,106125232,278876576,2553324,280286,142521,199738,28224,18812502,82015,917826,3035180,1684520,259027872,21746,395555,23432,27839,27899340,29830348,127917640,358.5,51695,270327,628490,9525784,94924472,28132272,65253820,7090399,902027,13006287,213482,10868031,131252,8515659,2231843,351933,2688718,358.5,103663,7004,31179270,164000,5184356864,161275,94822200,7880326,698014272,172616080,112187176,49158212,9233566,3441,70098032,105092,1719708,169605312,156208,3790974,366455,107380304,255000720,3762111,1033370,499679,819560,580608,62044924,3036091,25097476,1001703,24458,582500,1594990,83995304,105311,358.5,4314128,28879248,148599408,425158560,906847872,41055768,358.5,128476,79488408,358.5,3799068,1322617,1311991,3887,6466,1110640,6118861,358.5,353341,130345408
"160711-102","plasma",114044,11104694,4110049,3053420,33592364,155786,2993062,5838394,718825,8564,287046,358.5,4453421,358.5,6176,18423792,7675535,26945136,198074,4162,40280808,358.5,358.5,7892588,323085,188919008,1296302,86025064,3205944,358.5,2876830,51351,987396,13770,4790048,358.5,358.5,4094,91677728,105459392,283619296,25750860,7594,132746,221671,37228,404385,358.5,358.5,480084,219340,7103938,358.5,19093,358.5,358.5,248226,1125256,9842920,358.5,51913,125807,358.5,281010880,1334523,324708960,95408,30279,108522,12261100,11632,1520608,81898,11412489,1242231,1018326,834855,358.5,257099,4148,29619448,586226,4327316480,8591,27390004,2385217,63124820,22067146,23030630,234766,6178644,8435,3606063,140598,148466,18204830,358.5,328403,2955,20024016,32796022,2269216,1523817,455943,1440346,358.5,12847404,1350920,9876391,549658,4455,7608502,4700,7625463,3727,8013,358.5,14933683,77877560,478007936,393369856,43383572,358.5,611421,106812328,358.5,358.5,358.5,11224,53618,14034,146755,6129164,358.5,2712,45377624
"160711-11","plasma",3349092,17180788,5924546,9805371,41267580,686412,5618612,8198486,1205541,3531,4329,358.5,13863668,358.5,4660,18420442,21226100,48924496,939948,4767,87978376,358.5,358.5,30816538,482103,596566080,5322,211256016,3121794,358.5,3046931,950368,2105774,132851,14900359,358.5,358.5,358.5,457321024,113549448,5153902,72164128,358.5,60796,671571,358.5,358.5,358.5,358.5,20314,2620750,174392,358.5,6216,358.5,358.5,358.5,39980,1812449,358.5,5543,869822,358.5,1024015936,168613,868289664,475085,358.5,6646,39572340,358.5,8069656,320096,42739436,1694410,9940805,4406814,358.5,1103409,8339,33365190,3195064,6578067968,20780,73822360,8643399,874581,1601817,78400112,414519,14127717,8327,15234693,327779,5631,20899260,358.5,630840,358.5,76011696,173497408,311936,9945702,13270,2763235,3930,35308292,1407072,8691014,734772,358.5,23339934,178408,464919,2261,358.5,358.5,54817068,49301292,974636864,1177293056,196206480,358.5,1705187,222360048,358.5,358.5,358.5,358.5,7425,3229,343968864,31176438,358.5,6598,143302656
"160711-12","plasma",3023144,9650731,7454927,13391322,27823140,259516,15683455,1358615,1219882,8060,358.5,358.5,12729037,358.5,196389,9523470,33284620,46864148,879101,3861,205228576,358.5,358.5,35046832,775008,798257792,358.5,51526236,3613655,358.5,2752022,725826,5812274,79760,16421506,358.5,358.5,358.5,446199104,9924739,7706162,71449888,6776,57243,299776,7493,152828,358.5,3528,34614,2232012,242719,5568,22226,358.5,358.5,358.5,194395,44231844,358.5,3840,1460075,2564,1093172736,2181026,870298752,351593,358.5,10412,39889696,358.5,8061270,351583,44918936,2486048,6790816,2340851,358.5,1290228,15464,34787612,3673235,8593088512,7985,81277408,9954965,337299,868653,88987600,2302540,15936548,2768,13702969,633341,13074,21969670,358.5,280588,358.5,119626320,164342992,8161370,8768898,76077,2591274,3290,44331516,464871616,12747907,145250,358.5,23422376,142321,3441764,3356,358.5,358.5,59991468,164503664,1328039040,1412256896,221380208,358.5,6388730,242786048,358.5,358.5,358.5,358.5,28301,2569,413207072,31905904,4096,8722,134840592
"160711-13","plasma",3508148,14180294,6312084,7221597,30228130,2542258,10057061,7073414,615104,5604,358.5,358.5,15143349,358.5,6930,10144942,27925478,38403040,801666,5978,113523616,358.5,358.5,38036180,712106,637308736,5196,2792936,990552,358.5,3091628,499758,4449775,179986,14687002,358.5,358.5,3295,447784320,113521800,9124919,48792692,16393,88672,56118,24388,180219,358.5,2966,330578,1170981,147227,358.5,6331,358.5,358.5,358.5,259095,2746783,358.5,4636,876852,358.5,849088640,1704231,816618432,632519,358.5,5758,33207682,358.5,5270970,161836,28901116,2959011,12045674,1268781,358.5,696067,33849,33980588,3203698,10011902976,4282,64432484,7817500,417703,2578449,79904248,1984398,17296358,5850,13869261,527219,5896,32958144,358.5,216543,2913,90937136,135146864,7120064,13441215,33373,1755858,8133,35176800,5719646,65063408,667259,358.5,18141950,44786,10477934,84302,4433,358.5,45277068,99451936,2275722240,1816129408,179012592,358.5,3766204,210300880,358.5,6119,358.5,9252,32626,2805,2845945,19281048,358.5,4986,129539472
"160711-14","plasma",2653434,27038160,6046352,9243288,32333654,929123,5690186,6096658,2057559,4053,358.5,358.5,11844872,358.5,5474,16944728,25458742,42113468,1003779,3450,109689976,358.5,358.5,31965862,1766707,564406272,4667,2086484,686468,358.5,3051005,299479,3814574,216720,15517961,358.5,358.5,358.5,437590176,110650840,8500712,70320160,3018,111347,350557,16708,358.5,358.5,358.5,8170,1835444,468872,358.5,20397,358.5,358.5,358.5,73713,36195092,358.5,4411,1159596,358.5,976553600,381158,784807296,826410,358.5,9769,38645304,358.5,6276835,306458,26531068,1660647,18892358,2674860,358.5,594335,17869,33085082,1841381,6372692480,9605,66489988,8708209,463668,6914617,72749296,1435747,18711868,14741,15593307,445305,4389,33997832,358.5,343997,2787,85428992,141304544,6076494,11596159,31069,2493228,9278,31101368,1520094,23373694,260713,358.5,20318348,126840,1616832,41690,4875,358.5,41869280,64078996,1074180864,1530414464,174189776,358.5,1331671,237271616,358.5,358.5,358.5,358.5,4154,7885,116923456,21948834,358.5,8836,132242824
"160711-15","plasma",2364169,21486594,4162036,5609526,56999032,109571,7247861,6501200,1275176,4561,9259,358.5,8563434,358.5,4789,19319438,14763221,38134072,390446,17084,78180864,358.5,358.5,12057917,139661,248191632,358.5,109206400,4388881,358.5,3263392,31501,2640989,218578,5721032,358.5,358.5,358.5,446703392,112650736,5220790,35188652,358.5,52607,233969,17525,18361,358.5,358.5,464935,312564,205219,4771,31822,358.5,358.5,358.5,163552,18484362,358.5,4878,973731,1911,371942432,364167,468021568,456430,358.5,4050,17739996,358.5,5088116,98336,15894562,2929048,1939085,1574613,358.5,421811,5649,32942584,664513,5678807040,16637,59000596,6829547,216305,1677389,40167080,974196,8343288,6582,5584166,284142,9567,47475460,358.5,265680,358.5,33714992,81997608,3491924,2324418,28457,1901124,2867,16416862,2313883,4994201,139162,358.5,9554783,94471,4356177,3191,358.5,358.5,20033094,143530672,724056192,486325056,68609144,358.5,417133,162890000,358.5,4665,358.5,358.5,3532,4780,98149,11075063,358.5,3648,97725720
"160711-16","plasma",2845790,15396453,3080702,11644530,47511792,231229,16039393,8659664,1232054,9013,10327,358.5,14814504,358.5,5379,7193706,34614000,43096280,687480,3561,249109808,358.5,358.5,24899938,1108515,1037853248,358.5,9541969,1514184,358.5,2485526,473661,3224150,164349,9863309,358.5,358.5,18686,434429632,114766016,9460363,43771724,117318,167993,67353,4895,454800,358.5,2958,39260,1177065,1143036,358.5,7289,358.5,358.5,358.5,202078,87472240,358.5,5458,721113,358.5,939552704,3612460,788641344,741222,358.5,26838,39540644,358.5,5515465,205956,31856842,2568381,9663373,1406775,358.5,512525,12629,32173776,2670526,9176437760,6780,46974952,5640838,268026144,71257568,37978192,2280642,18205384,4035,12655784,1137122,12427,34547800,358.5,77849,358.5,112983920,113830512,7329612,11517162,68032,1349142,5073,24432512,1966032,75737760,85041,358.5,20125036,206459,14798302,30323,5428,358.5,32643666,117258680,1896160512,1639342336,113557096,358.5,2897014,184450784,358.5,33489,358.5,88220,38656,2271,342417920,24717528,358.5,3366,90020472
"160711-17","tumor",1879446,18100202,3324677,12170502,12145945,357182,2497023,10590094,628985,100991,18932460,888035,5043850,6102,928558,8516978,189440272,36425508,2340300,1941311,235812528,893185,2184676,86223344,945917,72217672,629198,1993867648,6622883,224079,1665561,401013,7709721,800128128,39321696,10382,611324,6955175,386660672,102414856,785586880,16697208,1433306,639766,495971,2339630,143075376,4627289,18820490,10512756,2249394,64322924,3167424,811415,148615,2025516,90488272,42353000,498001536,358.5,131393,2714753,305861,35234864,255472208,168291440,298715392,26958642,270746,30856142,6224,52929896,840953,24746464,4534588,677078,11214701,5170,370955,6062,29662602,666669,11210315776,1328119,413699680,32398844,5057231360,1222602880,287468000,257035328,48119984,358.5,349427648,301447,48610616,155315840,240575,6691205,3668941,593552576,903900736,7453286,2333764,3765771,4819142,2472890,142696992,14702680,13054821,1031633,583984,1540205,4280334,43431704,616345,482526,7786812,64011156,818674816,855910400,6217357312,188314864,5887,153595,117604656,534729,57393188,15480164,22993518,296383,56365,938216,19205630,358.5,1972751,364178720
"160711-18","plasma",2692561,29136108,7285074,10280998,33036136,498070,17769988,8072697,1599745,4423,5857,358.5,21406442,358.5,370867,8831450,41704992,44533708,712667,188976,118950632,358.5,358.5,41171168,515069,1818179072,50108,30278760,1828908,358.5,3776616,1476029,3197228,46983,17527374,358.5,2877,358.5,437768640,109224776,22458248,93039992,94631,153439,190610,16455,81509,358.5,6199,4913,1095608,5028338,5253,31656,358.5,358.5,358.5,46003,116419784,358.5,6185,1007112,2550,1079847936,1232372,905004544,613420,358.5,103650,43512972,358.5,6429870,257256,41388500,2418591,23120762,1423877,358.5,797726,13187,33855196,7740950,9000743936,27352,115385040,7092354,671666880,168181472,79075848,682359,22542148,3118,12134815,338684,643054,32324246,358.5,251400,358.5,116573168,190407984,8230600,23345692,136008,805080,8548,49462708,4485431,83478968,553142,358.5,23949324,85508,4661939,30694,358.5,358.5,64434548,57663124,1814905088,1731803648,267723792,358.5,1692686,258085376,358.5,358.5,358.5,358.5,10258,17350,398893376,15574607,358.5,9981,247853456
"160711-19","plasma",3790096,12248840,7543356,12879131,25650326,9941,5437295,5895640,2210750,4953,358.5,358.5,16381430,358.5,355461,10659401,44603640,24579154,726048,302184,149525936,358.5,358.5,46745984,530364,1922518784,4424,1159050,1209799,358.5,3636616,1136516,4836086,44636,17227468,358.5,358.5,358.5,432975360,110330448,20066674,100103888,15863,137885,515009,358.5,133868,358.5,3144,11996,1585962,3765900,4933,3934,358.5,358.5,358.5,405522,98215104,358.5,519895,303782,358.5,1255356800,1454198,951928576,1010215,4498,40539,48858116,358.5,7376848,203251,35180004,5482963,30593830,3039500,358.5,1159310,13921,31822990,4667830,8542025216,1127492,61221020,9075857,539413120,135571904,82845240,1545822,26990262,3346,14827589,662435,747611,33922836,358.5,622490,358.5,119698856,205459824,8531026,26353008,26739,3065882,28323,58486876,999423,84513024,164322,358.5,27560196,21888,8886264,1807,358.5,358.5,79253168,92333320,2106973952,1658517504,253951888,358.5,13675754,253839776,358.5,358.5,358.5,358.5,9064,6778,388129792,26599544,358.5,2913,167572112
"160711-20","tumor",1904127,23601640,5609495,9237755,16361509,2255317,7317731,7067304,647817,10839,1791014,2534447,12914812,11379,5702,9172046,295225120,11969254,2844698,256807,194901728,740353,638200,62715984,285850,164629584,371479,1631981824,20815796,358.5,2517173,94163,6027239,187537,36268976,9913,296045,8052922,396525280,98347824,465373952,13172447,633817,511707,99731,401495,32931432,2415139,8103849,4493144,2594426,66119180,2742766,567192,500590,628439,13957962,49345544,326455872,358.5,52167,2043152,468122,11727414,114013960,197187136,261661824,22385004,1007614,40894108,10065,39087192,234785,14615978,2945374,5937868,3339530,358.5,245131,2639,31000974,684518,10479264768,1339576,351703744,34475272,1889098112,492208160,258201424,39648268,97935712,4216,240305008,832604,11296877,130998152,6976,8753232,7794550,1041585600,959949184,8809531,9542391,2272164,1193568,1955999,153547920,1174322944,17221170,254908,340248,971773,7616129,49572056,405084,166999,865840,65270288,223361280,536773952,4083628288,162871936,4106,606224,111810432,40659,21714028,3783733,13522910,102888,13698,1506180,6077011,358.5,721455,418376928
"160711-21","plasma",848270,30322654,7591868,8024362,34984748,545185,4146718,4548440,1764275,4487,8339,358.5,13362695,358.5,11030,17649324,19398506,10609057,758304,53097,195900048,358.5,358.5,39723280,662244,492701248,3932,1954189,3069101,358.5,3395118,253482,3500918,39191,11388657,358.5,358.5,358.5,432520704,109520544,80393768,81738016,31062,190733,381433,358.5,6674,358.5,3077,158957,2169806,2417458,4295,16517,358.5,358.5,358.5,281265,37971904,358.5,49150,364088,358.5,747348224,1049562,744395904,925269,358.5,47140,25098952,358.5,8133570,187867,31188910,1618754,8304280,1734360,3943,645689,4856,31503072,1989517,9429581824,50077,82507544,8699360,147150144,45439192,85252264,1036412,14706968,3410,13766218,870178,814088,41220044,358.5,430047,358.5,80973112,168742128,8470568,7317606,58752,1744120,5551,54302532,947738,13696213,412986,358.5,16705237,7302,2979140,14384,6528,358.5,46071308,124478320,1325848192,935711680,210259584,358.5,1393723,181821408,358.5,358.5,358.5,358.5,9859,9076,227421488,23971756,358.5,2784,197805024
"160711-22","plasma",831997,9969508,6150856,13435826,66658404,11939,4846658,7233804,580174,4306,8741,358.5,19450972,358.5,6079,15858977,39292176,34386320,741514,32855,186943648,358.5,358.5,30548542,360856,1302087296,138419,2598368,3431318,358.5,3661028,719275,3961833,13642,12608682,358.5,358.5,358.5,429036992,112549056,51640144,63319068,42532,93317,65110,3920,180975,358.5,358.5,20044,985273,6553999,5278,8725,358.5,7513,358.5,306344,108112184,358.5,11393,322916,358.5,1056384256,1515963,889931776,928403,23023,46409,19618958,358.5,9175651,116192,37040464,1640831,12160820,1008088,358.5,1395834,9246,31210346,3761396,10773572608,95356,99311896,7622315,635170880,160004864,64257596,1757380,24035140,3739,11983463,1235714,921782,42588648,358.5,322002,358.5,126047944,191567792,23523000,13916669,60585,1923749,22611,40265632,4133300,90691520,288285,4135,22416482,33491,2700617,3762,4425,358.5,47854056,159899184,2605801216,1663565824,171372752,358.5,33889912,211383648,358.5,358.5,358.5,4645,5544,6781,534056448,21962842,358.5,6409,199325696
"160711-23","plasma",2124440,9179498,5287033,5438828,61260412,1217391,4996556,6255776,733571,3249,5590,358.5,11150204,358.5,6135,14260059,22663878,56553600,1072095,59510,88156928,358.5,358.5,19019616,694140,682061632,4846,18984212,677879,358.5,3041292,324625,3056710,298574,11574032,358.5,358.5,358.5,426228704,108713232,32351992,63336748,358.5,110500,76376,1297,8496,358.5,358.5,8466,1989859,461160,4141,24479,358.5,5685,358.5,68807,32967594,358.5,10623,867434,1532,778937344,216095,686142272,407552,358.5,4365,37670468,358.5,5426230,186767,26343376,2120179,13163159,2392079,358.5,469249,18137,31451976,1983327,4170826752,35363,80544840,8527865,68682592,25589024,86990192,429384,15349334,4087,11873318,1182323,252350,20112516,358.5,170800,3065,54511476,156715232,4588798,6644398,82525,3070647,9133,30120862,2483008,61720264,158836,358.5,17499136,84976,185131,358.5,14792,4589,39993528,27890002,834510592,865344128,184869760,358.5,1348448,216864320,358.5,358.5,358.5,358.5,3719,21201,209831424,17700236,358.5,5820,167043280
"160711-24","plasma",451378,21505410,2865184,11237967,25869966,51846,6762784,9926296,1650486,4008,5405,5077,14124853,358.5,5067,8523257,32309538,63425784,553125,72620,161575648,358.5,358.5,14706269,504519,1256460672,9126676,100669880,4340074,358.5,3375226,724300,3871659,64046,7784902,358.5,358.5,12904,434162496,109061848,347504992,43505636,153864,117702,94060,30081,215341,358.5,3315,67233,1114997,29095592,358.5,46060,358.5,358.5,358.5,760747,54274720,358.5,15336,606126,358.5,625270336,2009820,694833920,2275518,5321,134480,34037648,55658,4841786,140522,29722374,1338403,7217543,580272,358.5,667106,19189,31745248,2922954,7255418880,16197,64367552,4993506,340716800,85870368,51996560,1904884,16142153,4257,8839612,576185,528058,56130820,358.5,125451,358.5,101765656,151500496,7827670,9635983,451863,2474316,22045,19044314,655160,61377072,383284,4491,14511827,11505,7547408,23828,6143,358.5,26267186,139148496,1304468992,1485833600,97746616,358.5,3428339,229123024,358.5,66355,358.5,195104,92130,12016,274964096,17039022,358.5,3705,125672448
"160711-25","plasma",717284,27841714,7647844,9335886,36476492,1569871,14010515,10714630,1350954,9953,8325,358.5,14906395,358.5,571858,16067543,25214550,21276930,901032,49339,268865184,358.5,358.5,56340056,1255804,1374215168,48536,330033920,9020451,358.5,3628149,317934,4939666,24159,23722942,358.5,358.5,358.5,427593504,109625672,72766936,80749304,8276,183367,707082,35907,22408,358.5,3787,137015,2010696,712867,358.5,36350,358.5,358.5,358.5,56343,61547308,358.5,695580,205130,358.5,969575744,722852,908116864,358475,358.5,14704,45569888,358.5,7612878,176464,24931466,2661906,8886952,2531790,358.5,885798,46565,32627158,1842246,8306063872,313600,48943784,9171358,205098224,58125208,127114992,814764,17518966,3254,12147762,1453386,586804,33234112,358.5,364349,2922,106341136,188149152,6767994,6343298,12492,3910818,2354,59277340,1711055,87634792,401084,4141,25008190,11428,3487588,33257,358.5,358.5,72841368,127163240,1318476160,1201440384,251761136,358.5,1424412,195821392,358.5,358.5,358.5,358.5,3709,21926,229810720,16838420,358.5,4755,117099664
"160711-26","tumor",201647,28906650,2642097,22192050,12144080,986203,9951793,8087898,423483,596845,25200448,1553107,5386501,102984,5087064,16417768,358712256,10602698,1301323,848987,255457696,17276574,2845940,127617024,411426,176061648,1745204,1960744064,12932370,1126752,915585,405598,5984217,735681344,34523468,437339,674960,9599843,381395392,97974288,1466992768,24381614,8418533,659074,1792005,1003092,151439216,4706818,7898894,21220984,1761042,516404928,8400661,2166541,1037357,2150268,513800704,118727640,315886720,558744,1191627,158948,576580,14013433,311543488,193976256,299744064,57007132,7599694,38216156,4334384,55186088,152129,21812594,1791529,1027373,5929446,12309454,258502,2398,28277882,1257354,13158148096,1517998,328861248,34121828,4893135360,1155641472,258428752,71321312,88753592,358.5,292647744,36783,83902288,137301552,3005259,3197794,3489992,1073150208,807646784,12818613,2460154,11691773,1332044,3199348,236598512,460282464,21343210,1690621,101203,2052330,4768128,177423312,443402,4603,48634200,64771356,464615008,715990208,6419390976,265562864,10569,987102,77156168,15695941,62734296,25681168,55216420,918128,6003,1152110336,7788112,5332,1825714,346954048
