SampleName,SampleID
BLANK,NA
M21,LIPPOS16JULY_02.wiff 
D7_M7,LIPPOS16JULY_03.wiff 
D21_M26,LIPPOS16JULY_04.wiff 
D7_M27,LIPPOS16JULY_05.wiff 
D7_M23,LIPPOS16JULY_06.wiff 
M3,LIPPOS16JULY_07.wiff 
D35_M4,LIPPOS16JULY_08.wiff 
D7_M8,LIPPOS16JULY_09.wiff 
D21_M3,LIPPOS16JULY_10.wiff 
D35_M6,LIPPOS16JULY_11.wiff 
D7_M18,LIPPOS16JULY_12.wiff 
D7_M25,LIPPOS16JULY_13.wiff 
D35_M2,LIPPOS16JULY_14.wiff 
D7_M16,LIPPOS16JULY_15.wiff 
D35_M16,LIPPOS16JULY_16.wiff 
D21_M10,LIPPOS16JULY_17.wiff 
D21_M6,LIPPOS16JULY_18.wiff 
D35_M12,LIPPOS16JULY_19.wiff 
D35_M18,LIPPOS16JULY_20.wiff 
D7_M10,LIPPOS16JULY_21.wiff 
D21_M5,LIPPOS16JULY_22.wiff 
D21_M7,LIPPOS16JULY_23.wiff 
D21_M21,LIPPOS16JULY_24.wiff 
D35_M1,LIPPOS16JULY_25.wiff 
D7_M19,LIPPOS16JULY_26.wiff 
M11,LIPPOS16JULY_27.wiff 
D7_M12,LIPPOS16JULY_28.wiff 
M20,LIPPOS16JULY_29.wiff 
M4,LIPPOS16JULY_30.wiff 
M22,LIPPOS16JULY_31.wiff 
M5,LIPPOS16JULY_32.wiff 
M13,LIPPOS16JULY_33.wiff 
D21_M15,LIPPOS16JULY_34.wiff 
D35_M19,LIPPOS16JULY_35.wiff 
D21_M24,LIPPOS16JULY_36.wiff 
D35_M23,LIPPOS16JULY_37.wiff 
M19,LIPPOS16JULY_38.wiff 
D7_M21,LIPPOS16JULY_39.wiff 
M1,LIPPOS16JULY_40.wiff 
D7_M20,LIPPOS16JULY_41.wiff 
D35_M13,LIPPOS16JULY_42.wiff 
D7_M6,LIPPOS16JULY_43.wiff 
D21_M1,LIPPOS16JULY_44.wiff 
D21_M2,LIPPOS16JULY_45.wiff 
D21_M23,LIPPOS16JULY_46.wiff 
D7_M13,LIPPOS16JULY_47.wiff 
D21_M8,LIPPOS16JULY_48.wiff 
M27,LIPPOS16JULY_49.wiff 
D21_M19,LIPPOS16JULY_50.wiff 
D21_M22,LIPPOS16JULY_51.wiff 
D7_M11,LIPPOS16JULY_52.wiff 
D21_M27,LIPPOS16JULY_53.wiff 
D7_M3,LIPPOS16JULY_54.wiff 
D21_M20,LIPPOS16JULY_55.wiff 
D35_M22,LIPPOS16JULY_56.wiff 
D35_M10,LIPPOS16JULY_57.wiff 
D35_M11,LIPPOS16JULY_58.wiff 
D35_M20,LIPPOS16JULY_59.wiff 
D35_M3,LIPPOS16JULY_60.wiff 
D7_M2,LIPPOS16JULY_61.wiff 
D35_M24,LIPPOS16JULY_62.wiff 
M16,LIPPOS16JULY_63.wiff 
D7_M26,LIPPOS16JULY_64.wiff 
D21_M12,LIPPOS16JULY_65.wiff 
M23,LIPPOS16JULY_66.wiff 
D35_M21,LIPPOS16JULY_67.wiff 
D35_M27,LIPPOS16JULY_68.wiff 
D21_M18,LIPPOS16JULY_69.wiff 
D7_M24,LIPPOS16JULY_70.wiff 
D7_M15,LIPPOS16JULY_71.wiff 
M26,LIPPOS16JULY_72.wiff 
D35_M26,LIPPOS16JULY_73.wiff 
D35_M5,LIPPOS16JULY_74.wiff 
D7_M22,LIPPOS16JULY_75.wiff 
M10,LIPPOS16JULY_76.wiff 
M8,LIPPOS16JULY_77.wiff 
M2,LIPPOS16JULY_78.wiff 
D21_M11,LIPPOS16JULY_79.wiff 
M12,LIPPOS16JULY_80.wiff 
D21_M13,LIPPOS16JULY_81.wiff 
M1_D7,LIPPOS16JULY_82.wiff 
D35_M15,LIPPOS16JULY_83.wiff 
D21_M4,LIPPOS16JULY_84.wiff 
D7_M4,LIPPOS16JULY_85.wiff 
D35_M7,LIPPOS16JULY_86.wiff 
D35_M25,LIPPOS16JULY_87.wiff 
D21_M25,LIPPOS16JULY_88.wiff 
D7_M5,LIPPOS16JULY_89.wiff 
M24,LIPPOS16JULY_90.wiff 
M7,LIPPOS16JULY_91.wiff 
D35_M8,LIPPOS16JULY_92.wiff 
M6,LIPPOS16JULY_93.wiff 
D21_M16,LIPPOS16JULY_94.wiff 
M18,LIPPOS16JULY_95.wiff 
M21,LIPNEG16JULY_01.wiff 
D7_M7,LIPNEG16JULY_02.wiff 
D21_M26,LIPNEG16JULY_03.wiff 
D7_M27,LIPNEG16JULY_04.wiff 
D7_M23,LIPNEG16JULY_05.wiff 
M3,LIPNEG16JULY_06.wiff 
D35_M4,LIPNEG16JULY_07.wiff 
D7_M8,LIPNEG16JULY_08.wiff 
D21_M3,LIPNEG16JULY_09.wiff 
D35_M6,LIPNEG16JULY_10.wiff 
D7_M18,LIPNEG16JULY_11.wiff 
D7_M25,LIPNEG16JULY_12.wiff 
D35_M2,LIPNEG16JULY_13.wiff 
D7_M16,LIPNEG16JULY_14.wiff 
D35_M16,LIPNEG16JULY_15.wiff 
D21_M10,LIPNEG16JULY_16.wiff 
D21_M6,LIPNEG16JULY_17.wiff 
D35_M12,LIPNEG16JULY_18.wiff 
D35_M18,LIPNEG16JULY_19.wiff 
D7_M10,LIPNEG16JULY_20.wiff 
D21_M5,LIPNEG16JULY_21.wiff 
D21_M7,LIPNEG16JULY_22.wiff 
D21_M21,LIPNEG16JULY_23.wiff 
D35_M1,LIPNEG16JULY_24.wiff 
D7_M19,LIPNEG16JULY_25.wiff 
M11,LIPNEG16JULY_26.wiff 
D7_M12,LIPNEG16JULY_27.wiff 
M20,LIPNEG16JULY_28.wiff 
M4,LIPNEG16JULY_29.wiff 
M22,LIPNEG16JULY_30.wiff 
M5,LIPNEG16JULY_31.wiff 
M13,LIPNEG16JULY_32.wiff 
D21_M15,LIPNEG16JULY_33.wiff 
D35_M19,LIPNEG16JULY_34.wiff 
D21_M24,LIPNEG16JULY_35.wiff 
D35_M23,LIPNEG16JULY_36.wiff 
M19,LIPNEG16JULY_37.wiff 
D7_M21,LIPNEG16JULY_38.wiff 
M1,LIPNEG16JULY_39.wiff 
D7_M20,LIPNEG16JULY_40.wiff 
D35_M13,LIPNEG16JULY_41.wiff 
D7_M6,LIPNEG16JULY_42.wiff 
D21_M1,LIPNEG16JULY_43.wiff 
D21_M2,LIPNEG16JULY_44.wiff 
D21_M23,LIPNEG16JULY_45.wiff 
D7_M13,LIPNEG16JULY_46.wiff 
D21_M8,LIPNEG16JULY_47.wiff 
M27,LIPNEG16JULY_48.wiff 
D21_M19,LIPNEG16JULY_49.wiff 
D21_M22,LIPNEG16JULY_50.wiff 
D7_M11,LIPNEG16JULY_51.wiff 
D21_M27,LIPNEG16JULY_52.wiff 
D7_M3,LIPNEG16JULY_53.wiff 
D21_M20,LIPNEG16JULY_54.wiff 
D35_M22,LIPNEG16JULY_55.wiff 
D35_M10,LIPNEG16JULY_56.wiff 
D35_M11,LIPNEG16JULY_57.wiff 
D35_M20,LIPNEG16JULY_58.wiff 
D35_M3,LIPNEG16JULY_59.wiff 
D7_M2,LIPNEG16JULY_60.wiff 
D35_M24,LIPNEG16JULY_61.wiff 
M16,LIPNEG16JULY_62.wiff 
D7_M26,LIPNEG16JULY_63.wiff 
D21_M12,LIPNEG16JULY_64.wiff 
M23,LIPNEG16JULY_65.wiff 
D35_M21,LIPNEG16JULY_66.wiff 
D35_M27,LIPNEG16JULY_67.wiff 
D21_M18,LIPNEG16JULY_68.wiff 
D7_M24,LIPNEG16JULY_69.wiff 
D7_M15,LIPNEG16JULY_70.wiff 
M26,LIPNEG16JULY_71.wiff 
D35_M26,LIPNEG16JULY_72.wiff 
D35_M5,LIPNEG16JULY_73.wiff 
D7_M22,LIPNEG16JULY_74.wiff 
M10,LIPNEG16JULY_75.wiff 
M8,LIPNEG16JULY_76.wiff 
M2,LIPNEG16JULY_77.wiff 
D21_M11,LIPNEG16JULY_78.wiff 
M12,LIPNEG16JULY_79.wiff 
D21_M13,LIPNEG16JULY_80.wiff 
M1_D7,LIPNEG16JULY_81.wiff 
D35_M15,LIPNEG16JULY_82.wiff 
D21_M4,LIPNEG16JULY_83.wiff 
D7_M4,LIPNEG16JULY_84.wiff 
D35_M7,LIPNEG16JULY_85.wiff 
D35_M25,LIPNEG16JULY_86.wiff 
D21_M25,LIPNEG16JULY_87.wiff 
D7_M5,LIPNEG16JULY_88.wiff 
M24,LIPNEG16JULY_89.wiff 
M7,LIPNEG16JULY_90.wiff 
D35_M8,LIPNEG16JULY_91.wiff 
M6,LIPNEG16JULY_92.wiff 
D21_M16,LIPNEG16JULY_93.wiff 
M18,LIPNEG16JULY_94.wiff 
